folder,filename,level,heading,slug,parent_slug,description,size_bytes,modified_utc,tags,owners,status,contains_placeholder,links
.,.copilot_todo.md,h1,Task Tracker (Phase 3 Execution),task-tracker-phase-3-execution,,,295,2025-11-08T23:02:14.488500+00:00,,,,no,
.github,.github/architect.chatmode.md,h1,System Architect,system-architect,,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Core Responsibilities,core-responsibilities,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Project Context,project-context,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Guidelines,guidelines,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/ask.chatmode.md,h1,Project Assistant,project-assistant,,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Core Responsibilities,core-responsibilities,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Project Context,project-context,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Guidelines,guidelines,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h1,Code Expert,code-expert,,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Core Responsibilities,core-responsibilities,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Project Context,project-context,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Guidelines,guidelines,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/copilot-instructions.md,h1,Repo Studios Copilot Playbook,repo-studios-copilot-playbook,,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Big Picture,big-picture,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Core Workflows,core-workflows,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Command Center Orchestrator,command-center-orchestrator,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Conventions & Patterns,conventions-patterns,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Testing & Validation,testing-validation,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Reference Material,reference-material,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Collaboration Tips,collaboration-tips,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Terminal Coordination,terminal-coordination,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/debug.chatmode.md,h1,Debug Expert,debug-expert,,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Core Responsibilities,core-responsibilities,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Project Context,project-context,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Guidelines,guidelines,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.repo_studios,.repo_studios/README.md,h1,Repo Studios Automation Hub,repo-studios-automation-hub,,"This directory houses the automation runtime that keeps Repo Studios scripts, reports, and tests aligned. Every CLI under `.repo_studios/scripts/` follows the same `run(argv)` pattern so they can be imported safely in orchestrators, tests,…",4932,2025-11-08T23:02:48.606878+00:00,,,,no,
.repo_studios,.repo_studios/README.md,h2,What lives here,what-lives-here,repo-studios-automation-hub,"This directory houses the automation runtime that keeps Repo Studios scripts, reports, and tests aligned. Every CLI under `.repo_studios/scripts/` follows the same `run(argv)` pattern so they can be imported safely in orchestrators, tests,…",4932,2025-11-08T23:02:48.606878+00:00,,,,no,
.repo_studios,.repo_studios/README.md,h2,Primary entry points,primary-entry-points,repo-studios-automation-hub,"This directory houses the automation runtime that keeps Repo Studios scripts, reports, and tests aligned. Every CLI under `.repo_studios/scripts/` follows the same `run(argv)` pattern so they can be imported safely in orchestrators, tests,…",4932,2025-11-08T23:02:48.606878+00:00,,,,no,
.repo_studios,.repo_studios/README.md,h2,Working agreements,working-agreements,repo-studios-automation-hub,"This directory houses the automation runtime that keeps Repo Studios scripts, reports, and tests aligned. Every CLI under `.repo_studios/scripts/` follows the same `run(argv)` pattern so they can be imported safely in orchestrators, tests,…",4932,2025-11-08T23:02:48.606878+00:00,,,,no,
.repo_studios/agent_notes,.repo_studios/agent_notes/README.md,h1,Agent Notes Index,agent-notes-index,,"This workspace hosts timestamped YAML entries that capture substantive actions, discoveries, and decisions made by the coding agent. Treat it as a lightweight knowledge base that agents and developers can reference over time.",2205,2025-10-21T12:02:58.646317+00:00,,,,no,
.repo_studios/agent_notes,.repo_studios/agent_notes/README.md,h2,Folder Taxonomy,folder-taxonomy,agent-notes-index,"This workspace hosts timestamped YAML entries that capture substantive actions, discoveries, and decisions made by the coding agent. Treat it as a lightweight knowledge base that agents and developers can reference over time.",2205,2025-10-21T12:02:58.646317+00:00,,,,no,
.repo_studios/agent_notes,.repo_studios/agent_notes/README.md,h2,File Naming Convention,file-naming-convention,agent-notes-index,"This workspace hosts timestamped YAML entries that capture substantive actions, discoveries, and decisions made by the coding agent. Treat it as a lightweight knowledge base that agents and developers can reference over time.",2205,2025-10-21T12:02:58.646317+00:00,,,,no,
.repo_studios/agent_notes,.repo_studios/agent_notes/README.md,h2,YAML Structure,yaml-structure,agent-notes-index,"This workspace hosts timestamped YAML entries that capture substantive actions, discoveries, and decisions made by the coding agent. Treat it as a lightweight knowledge base that agents and developers can reference over time.",2205,2025-10-21T12:02:58.646317+00:00,,,,no,
.repo_studios/agent_notes/meta,.repo_studios/agent_notes/meta/phase1_foundation_review_2025-10-18_0138.md,h1,Phase 1 Foundation Review,phase-1-foundation-review,,,1837,2025-10-21T12:02:58.653326+00:00,,,,no,
.repo_studios/agent_notes/meta,.repo_studios/agent_notes/meta/phase1_foundation_review_2025-10-18_0138.md,h2,Context,context,phase-1-foundation-review,,1837,2025-10-21T12:02:58.653326+00:00,,,,no,
.repo_studios/agent_notes/meta,.repo_studios/agent_notes/meta/phase1_foundation_review_2025-10-18_0138.md,h2,Actions,actions,phase-1-foundation-review,,1837,2025-10-21T12:02:58.653326+00:00,,,,no,
