snapshot_date,metric_key,metric_value,unit,source_artifact,reporting_usage,notes
2025-10-28,command_center_duplicate_entries,12,entries,.repo_studios/command_center/reports/duplicates_scan/repo-studios__command-center__scripts_duplicate_scan/scripts_duplicate_matrix-2025-10-28-2107.json,Weighted briefing: Narrative Highlights backlog context,Computed from duplicate matrix entries to quantify remaining shared helpers.
2025-10-28,command_center_duplicate_scanner_groups,5,groups,.repo_studios/command_center/reports/duplicates_scan/repo-studios__command-center__scripts_duplicate_scan/scripts_duplicate_matrix-2025-10-28-2107.json,Key Metrics: Duplicate groups resolved (baseline),Represents groups still outstanding before Phase 7 hardening.
2025-10-28,command_center_producer_instances,34,instances,.repo_studios/command_center/reports/duplicates_scan/repo-studios__command-center__scripts_duplicate_scan/scripts_duplicate_matrix-2025-10-28-2107.json,Weighted briefing: Narrative Highlights backlog context,Sum of producer occurrences contributing to duplicate debt.
2025-10-28,command_center_producer_line_span_total,581,lines,.repo_studios/command_center/reports/duplicates_scan/repo-studios__command-center__scripts_duplicate_scan/scripts_duplicate_matrix-2025-10-28-2107.json,Weighted briefing: Narrative Highlights backlog context,Total duplicate line span used to size remediation effort.
2025-10-28,summarizers_duplicate_groups,1,groups,.repo_studios/command_center/reports/duplicates_scan/repo-studios__scripts__summarizers_duplicate_scan/summarizers_duplicate_matrix-2025-10-28-1340.json,Artifact Links: Duplicate matrix (summarizers),Single scanner-only group tracked for summarizers target.
2025-10-28,utilities_duplicate_groups,0,groups,.repo_studios/command_center/reports/duplicates_scan/repo-studios__scripts__utilities_duplicate_scan/utilities_duplicate_matrix-2025-10-28-1344.json,Artifact Links: Duplicate matrix (utilities),Confirms utilities target remains clean at baseline.
2025-11-03,duplicate_groups_resolved,2,groups,.repo_studios/command_center/reports/repo-studios__command-center__automation_run/automation_manifest-20251103_170000/metrics_summary.json,Key Metrics: Duplicate groups resolved (Current),Derived from automation dry-run metrics summary (dryrun-probe-02).
2025-11-03,lines_touched,84,lines,.repo_studios/command_center/reports/repo-studios__command-center__automation_run/automation_manifest-20251103_170000/metrics_summary.json,Summary Snapshot: Metrics source bundle,Tracks potential code movement for remediation sizing.
2025-11-03,files_changed,3,files,.repo_studios/command_center/reports/repo-studios__command-center__automation_run/automation_manifest-20251103_170000/metrics_summary.json,Summary Snapshot: Metrics source bundle,Used when summarizing touched scope in briefings.
2025-11-03,runtime_seconds,312.6,seconds,.repo_studios/command_center/reports/repo-studios__command-center__automation_run/automation_manifest-20251103_170000/metrics_summary.json,Narrative Highlights: runtime,Informs scheduling and guardrail cadence discussions.
2025-11-03,tests_executed,3,suites,.repo_studios/command_center/reports/repo-studios__command-center__automation_run/automation_manifest-20251103_170000/metrics_summary.json,Follow-up Actions: post-run test confirmation,Counts pytest commands captured in the automation manifest.
2025-11-03,weighted_progress_baseline,0,percent,.repo_studios/command_center/docs/metrics/weighted_progress_briefing_template.md,Summary Snapshot: Overall weighted progress,Baseline placeholder until high-complexity and helper adoption metrics land in metrics_summary.json.
2025-11-23,placeholder_total_matches,0,matches,.repo_studios/reports/producer_reports/code_placeholder_scans/placeholder_scan-20251123_203707/report.json,Guardrail Metrics: Placeholder debt,Repo-root scan after exclusion + uppercase heuristics shipped; zero outstanding matches.
