source	line	text
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	34	Pin the Chainlit version in `requirements-dev.txt` to avoid UI drift.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	60	- Use `async def` and `await` long-running calls (LLM, DB, HTTP).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	62	- Prefer `cl.error()` for developer diagnostics during development.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	82	- Use explicit `id` when you plan to update a message.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	83	- Prefer a single message that updates from "working" → final content.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	84	- Use streaming for long outputs; otherwise update in small increments.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	112	- Prefer Chainlit inputs over `input()`.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	113	- Use stable IDs for actions; debounce rapid clicks.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	136	- Enforce size limits; store to a temp directory; clean up after processing.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	140	- Use `cl.user_session` for per-session, small state blobs.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	142	- Avoid storing large objects or cross-session references.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	166	- Prefer structured logs with context (session ID, message ID).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	174	- Avoid global state; reset `cl.user_session` between tests.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	186	- Never log secrets; load configuration from environment.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-chainlit-ui.md	192	- Do not reimplement monitoring widgets; use the monitoring sidebar and readiness endpoints documented in the README.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-code-cleanup.md	37	8. Ensure each module, class, and function includes a clear and concise docstring.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-code-cleanup.md	38	9. Prefer in-place changes, but fully rewrite files if a logical restructuring results in clearer logic or better maintainability.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-code-cleanup.md	39	10. Use in-code annotations to explain why changes were made (to assist future agents).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-code-cleanup.md	103	- Prefer small, focused diffs. Avoid touching unrelated files.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	31	- Use semantic HTML5 tags (`<header>`, `<main>`, `<footer>`, `<nav>`, `<section>`, `<article>`, etc.).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	32	- Ensure every page includes:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	36	- Use one `<h1>` per page.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	42	- Use **kebab-case** for all `id` and `class` attributes:
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	48	- Prefer reusable class names over inline styles.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	49	- Avoid vague class names (for example, `style1`, `x123`).
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	53	- Prefer Tailwind CSS or a shared utility layer for styling.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	54	- Do not embed large `<style>` blocks inside HTML files.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	55	- Avoid inline styles except for throwaway prototypes.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	63	- Use `role`, `aria-*`, and `tabindex` only when semantic tags do not provide the behavior.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	64	- Avoid using color alone to convey meaning.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	70	- Use descriptive `id` attributes so agents can target elements for updates.
C:\Users\genet\repo_studios\.repo_studios\docs\standards\global\std-global-html-coding.md	78	- Avoid dynamic DOM structures that rely on unchecked JavaScript injection unless using a declared frontend framework.
