source	line	text
docs\standards\global\std-global-code-cleanup.md	16	- Prefer automated formatting and linting fixes as separate commits when practical to keep code changes clear.
docs\standards\global\std-global-markdown-authoring.md	27	- Ensure every substantive document includes at least one `##` subsection so the doc index can surface a meaningful table of contents.
docs\standards\global\std-global-markdown-authoring.md	28	- Use descriptive, unique headings; when cloning a template, immediately rename sections to avoid duplicate slugs across the repository.
docs\standards\global\std-global-markdown-authoring.md	39	- Use `owner` to capture the accountable team or alias (for example, `repo_studios_ai`).
docs\standards\global\std-global-markdown-authoring.md	45	- Ensure each file has only one top-level heading and organize subsections using `##`/`###` tiers for predictable anchors.
docs\standards\global\std-global-markdown-authoring.md	47	- Prefer descriptive link text and repository-relative URLs to avoid rot when mirrors or forks consume the documentation.
docs\standards\global\std-global-monkey-patching.md	14	- Avoid patching Python builtins (`len`, `open`, `list`, etc.) outside of tightly scoped, clearly documented tests.
docs\standards\global\std-global-python-engineering.md	14	- Prefer specific exception types (`ValueError`, `KeyError`, etc.) over bare `except:` clauses to avoid masking unexpected faults.
docs\standards\global\std-global-python-engineering.md	16	- Use `try` blocks narrowly and confine remediation logic to the smallest scope that meaningfully handles the error.
docs\standards\global\std-global-python-engineering.md	21	- Ensure log messages include actionable fields such as correlation IDs, user identifiers, or feature flags when applicable.
docs\standards\project\std-project-operating-standard.md	20	- Document every new automation target or script addition in the repository Makefile and supporting docs to keep contributors informed.
docs\standards\project\std-project-python-instructions.md	21	- Use the repository-managed virtual environment (`.venv/`) for local development and testing. Regenerate it after any dependency change.
docs\standards\project\std-project-python-instructions.md	22	- Pin new dependencies in `requirements.txt` or supporting lockfiles and document the reasoning in pull requests.
docs\standards\project\std-project-python-instructions.md	28	- Ensure each doc adheres to the global markdown authoring standard: include front matter with `owner`, `tags`, and `status`, provide a single H1 with a descriptive summary paragraph, and add meaningful H2 sections for navigability.
