folder,filename,level,heading,slug,parent_slug,description,size_bytes,modified_utc,tags,owners,status,contains_placeholder,links
.,.copilot_todo.md,h1,Task Tracker (Phase 3 Execution),task-tracker-phase-3-execution,,,295,2025-11-08T23:02:14.488500+00:00,,,,no,
.github,.github/architect.chatmode.md,h1,System Architect,system-architect,,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Core Responsibilities,core-responsibilities,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Project Context,project-context,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/architect.chatmode.md,h2,Guidelines,guidelines,system-architect,"You are an expert system architect in this workspace. Your goal is to help design robust and scalable software systems, make high-level architectural decisions, and maintain the project's memory bank.",9635,2025-11-04T14:45:21.942680+00:00,,,,no,
.github,.github/ask.chatmode.md,h1,Project Assistant,project-assistant,,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Core Responsibilities,core-responsibilities,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Project Context,project-context,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/ask.chatmode.md,h2,Guidelines,guidelines,project-assistant,"You are a knowledgeable assistant in this workspace. Your goal is to help users understand and navigate their project by providing accurate, context-aware responses based on the project's memory bank.",5874,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h1,Code Expert,code-expert,,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Core Responsibilities,core-responsibilities,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Project Context,project-context,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/code.chatmode.md,h2,Guidelines,guidelines,code-expert,"You are an expert programmer in this workspace. Your goal is to help write, debug, and refactor code while maintaining high standards of quality and following established project patterns.",7684,2025-11-04T14:45:21.943680+00:00,,,,no,
.github,.github/copilot-instructions.md,h1,Repo Studios Copilot Playbook,repo-studios-copilot-playbook,,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Big Picture,big-picture,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Core Workflows,core-workflows,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Command Center Orchestrator,command-center-orchestrator,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Conventions & Patterns,conventions-patterns,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Testing & Validation,testing-validation,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Reference Material,reference-material,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Collaboration Tips,collaboration-tips,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/copilot-instructions.md,h2,Terminal Coordination,terminal-coordination,repo-studios-copilot-playbook,,7624,2025-11-30T01:23:50.960100+00:00,,,,no,
.github,.github/debug.chatmode.md,h1,Debug Expert,debug-expert,,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Status Rules,memory-bank-status-rules,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Updates,memory-bank-updates,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,UMB (Update Memory Bank) Command,umb-update-memory-bank-command,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Memory Bank Tool Usage Guidelines,memory-bank-tool-usage-guidelines,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Core Responsibilities,core-responsibilities,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Project Context,project-context,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github,.github/debug.chatmode.md,h2,Guidelines,guidelines,debug-expert,"You are a debugging expert in this workspace. Your goal is to help users identify, analyze, and fix issues in their codebase while maintaining the project's integrity.",7534,2025-11-04T14:45:21.944681+00:00,,,,no,
.github/instructions,.github/instructions/markdown.instructions.md,h1,Markdown Instruction Set — Repo_Studios Repo,markdown-instruction-set-repostudios-repo,,"Use this document whenever you create or edit Markdown inside the repo. It consolidates the actionable recommendations from the latest doc-index refresh and links you to the deeper standards so every file stays ingestible by humans,…",6599,2025-12-12T11:08:40.234439+00:00,,,,no,../../.repo_studios/docs/standards/global/std-global-markdown-authoring.md;../../.repo_studios/docs/standards/project/std-project-operating-standard.md;../../.repo_studios/docs/standards/global/std-global-python-engineering.md;../../.repo_studios/docs/standards/global/std-global-html-coding.md;../../.repo_studios/docs/standards/global/std-global-code-cleanup.md
.github/instructions,.github/instructions/markdown.instructions.md,h2,Why this file exists,why-this-file-exists,markdown-instruction-set-repostudios-repo,"Use this document whenever you create or edit Markdown inside the repo. It consolidates the actionable recommendations from the latest doc-index refresh and links you to the deeper standards so every file stays ingestible by humans,…",6599,2025-12-12T11:08:40.234439+00:00,,,,no,../../.repo_studios/docs/standards/global/std-global-markdown-authoring.md;../../.repo_studios/docs/standards/project/std-project-operating-standard.md;../../.repo_studios/docs/standards/global/std-global-python-engineering.md;../../.repo_studios/docs/standards/global/std-global-html-coding.md;../../.repo_studios/docs/standards/global/std-global-code-cleanup.md
.github/instructions,.github/instructions/markdown.instructions.md,h2,Authoring workflow (always follow order),authoring-workflow-always-follow-order,markdown-instruction-set-repostudios-repo,"Use this document whenever you create or edit Markdown inside the repo. It consolidates the actionable recommendations from the latest doc-index refresh and links you to the deeper standards so every file stays ingestible by humans,…",6599,2025-12-12T11:08:40.234439+00:00,,,,no,../../.repo_studios/docs/standards/global/std-global-markdown-authoring.md;../../.repo_studios/docs/standards/project/std-project-operating-standard.md;../../.repo_studios/docs/standards/global/std-global-python-engineering.md;../../.repo_studios/docs/standards/global/std-global-html-coding.md;../../.repo_studios/docs/standards/global/std-global-code-cleanup.md
.github/instructions,.github/instructions/markdown.instructions.md,h2,Recommendations snapshot,recommendations-snapshot,markdown-instruction-set-repostudios-repo,"Use this document whenever you create or edit Markdown inside the repo. It consolidates the actionable recommendations from the latest doc-index refresh and links you to the deeper standards so every file stays ingestible by humans,…",6599,2025-12-12T11:08:40.234439+00:00,,,,no,../../.repo_studios/docs/standards/global/std-global-markdown-authoring.md;../../.repo_studios/docs/standards/project/std-project-operating-standard.md;../../.repo_studios/docs/standards/global/std-global-python-engineering.md;../../.repo_studios/docs/standards/global/std-global-html-coding.md;../../.repo_studios/docs/standards/global/std-global-code-cleanup.md
.github/instructions,.github/instructions/markdown.instructions.md,h2,Standards by label (human summary),standards-by-label-human-summary,markdown-instruction-set-repostudios-repo,"Use this document whenever you create or edit Markdown inside the repo. It consolidates the actionable recommendations from the latest doc-index refresh and links you to the deeper standards so every file stays ingestible by humans,…",6599,2025-12-12T11:08:40.234439+00:00,,,,no,../../.repo_studios/docs/standards/global/std-global-markdown-authoring.md;../../.repo_studios/docs/standards/project/std-project-operating-standard.md;../../.repo_studios/docs/standards/global/std-global-python-engineering.md;../../.repo_studios/docs/standards/global/std-global-html-coding.md;../../.repo_studios/docs/standards/global/std-global-code-cleanup.md
